|1|48506,
|1.1|100,935.56
|1|65588,
|1.1|100,"6,489.14"
|1|66954,
|1.1|100,699.86
|1|82385,
|1.1|100,739.14
|1|116097,
|1.1|100,0.01
|1|116088,
|1.1|100,789.14
|1|116098,
|1.1|100,250
|1|63473,
|1.1|100,"5,989.14"
|1|68252,
|1.1|100,"1,989.14"
|1|116028,
|1.1|100,"4,989.14"
|1|116094,
|1.1|100,"1,989.14"
|1|116060,
|1.1|100,"2,489.14"
|1|93532,
|1.1|100,"5,455.80"
|1|116062,
|1.1|100,"3,554.61"
|1|116087,
|1.1|100,"4,589.14"
|1|2233,
|1.1|100,352.63
|1|3311,
|1.1|100,"4,989.14"
|1|3323,
|1.1|100,828.42
|1|67881,
|1.1|100,918.93
|1|65487,
|1.1|100,0.01
|1|116023,
|1.1|100,"1,293.93"
|1|93419,
|1.1|100,0.01
|1|93485,
|1.1|100,112.39
|1|116034,
|1.1|100,289.14
|1|116036,
|1.1|100,112.39
|1|116038,
|1.1|100,112.39
